Amigny|(50620)|49.15|-1.18333
Amigny-rouy|(02700)|49.6|3.3
Amillis|(77120)|48.7333|3.13333
Amilly|(28300)|48.45|1.4
Amilly|(45200)|47.9731|2.77028
Amions|(42260)|45.8833|4.03333
Amirat|(06910)|43.9|6.81667
Ammerschwihr|(68770)|48.1167|7.28333
Ammerzwiller|(68210)|47.6833|7.16667
Amne|(72540)|48.04|-0.0591667
Amneville|(57360)|49.2667|6.15
Amoncourt|(70170)|47.7333|6.06667
Amondans|(25330)|47.0667|6.03333
Amont-et-effreney|(70310)|47.8753|6.57473
Amorots-succos|(64120)|43.3667|-1.1
Amou|(40330)|43.6|-0.75
Ampilly-le-sec|(21400)|47.8|4.51667
Ampilly-les-bordes|(21450)|47.6333|4.63333
Amplepuis|(69550)|45.9833|4.33333
Amplier|(62760)|50.1333|2.4
Ampoigne|(53200)|47.8167|-0.816667
Amponville|(77760)|48.2833|2.53333
Ampriani|(20272)|42.2542|9.35723
Ampuis|(69420)|45.4833|4.81667
Ampus|(83111)|43.6|6.38333
Amure|(79210)|46.2667|-0.616667
Amy|(60310)|49.65|2.83333
Anais|(16560)|45.7742|0.208889
Anais|(17540)|46.1833|-0.908333
Anan|(31230)|43.35|0.833333
Ance|(64570)|43.15|-0.7
Anceaumeville|(76710)|49.5833|1.05
Anceins|(61550)|48.8639|0.501389
Ancelle|(05260)|44.6333|6.2
Ancemont|(55320)|49.0667|5.41667
Ancenis|(44150)|47.3667|-1.16667
Ancerville|(55170)|48.6359|5.01973
Ancerville|(57580)|49.0333|6.38333
Ancerviller|(54450)|48.5333|6.83333
Ancey|(21410)|47.3333|4.83333
Anchamps|(08500)|49.9333|4.68333
Anche|(37500)|47.1333|0.3
Anche|(86700)|46.35|0.266667
Anchenoncourt-et-chazel|(70210)|47.8667|6.11667
Ancienville|(02600)|49.2167|3.21667
Ancier|(70100)|47.45|5.63333
Ancinnes|(72610)|48.3667|0.183333
Ancizan|(65440)|42.8833|0.333333
Les ancizes-comps|(63770)|45.9167|2.8
Ancone|(26200)|44.5833|4.73333
Ancourt|(76370)|49.9|1.18333
Ancourteville-sur-hericourt|(76560)|49.6962|0.663889
Ancretieville-saint-victor|(76760)|49.6534|0.971667
Ancretteville-sur-mer|(76540)|49.7833|0.516667
Ancteville|(50200)|49.1|-1.48333
Anctoville|(14240)|49.1|-0.7
Anctoville-sur-boscq|(50400)|48.8439|0.467779
Ancy|(69490)|45.8333|4.51667
Ancy-le-franc|(89160)|47.7667|4.16667
Ancy-le-libre|(89160)|47.8|4.11667
Ancy-sur-moselle|(57130)|49.05|6.06667
Andainville|(80140)|49.9|1.78333
Andance|(07340)|45.2333|4.78333
Andancette|(26140)|45.2333|4.8
Andard|(49800)|47.45|-0.4
Ande|(27430)|49.2333|1.23333
Andechy|(80700)|49.7167|2.71667
Andel|(22400)|48.5|-2.56667
Andelain|(02800)|49.6333|3.36667
Andelaroche|(03120)|46.25|3.75
Andelarre|(70000)|47.5833|6.1
Andelarrot|(70000)|47.5833|6.1
Andelat|(15100)|45.0667|3.06667
Andelnans|(90400)|47.6|6.86667
Andelot-blancheville|(52700)|48.2434|5.29862
Andelot-en-montagne|(39110)|46.85|5.93333
Andelot-morval|(39320)|46.4253|5.41639
Andelu|(78770)|48.8833|1.81667
Les andelys|(27700)|49.25|1.41667
Andernay|(55800)|48.8|4.95
Andernos-les-bains|(33510)|44.7429|-1.1
Anderny|(54560)|49.3333|5.86667
Andert-et-condon|(01300)|45.8|5.65
Andeville|(60570)|49.25|2.16667
Andigne|(49220)|47.6667|-0.783333
Andillac|(81140)|44|1.9
Andilly|(17230)|46.25|-1.03333
Andilly|(54200)|48.7667|5.88333
Andilly|(74350)|46.05|6.06667
Andilly|(95580)|49|2.3
Andilly-en-bassigny|(52360)|47.9167|5.51667
Andiran|(47170)|44.1|0.266667
Andlau|(67140)|48.3864|7.41778
Andoins|(64420)|43.3|-0.233333
Andolsheim|(68280)|48.0667|7.41667
Andon|(06750)|43.7667|6.78333
Andonville|(45480)|48.2667|2.01667
Andornay|(70200)|47.65|6.6
Andouille|(53240)|48.1833|-0.783333
Andouille-neuville|(35250)|48.3|-1.58333
Andouque|(81350)|44.0228|2.30445
